id,week,date,timeofday,LON,LAT,activity,withmask,maskcompliant,socialdist,sdmaskcomp,agegroup,white,sex,obese
3336,1,2/16/2021,132255,39.6795753,-75.7517809,2,1,1,1,1,2,1,2,0
3337,1,2/16/2021,132320,39.67931107,-75.752749,2,1,1,1,1,2,0,2,0
3338,1,2/16/2021,132329,39.67914798,-75.752974,2,1,1,1,0,2,1,1,0
3339,1,2/16/2021,132329,39.67913766,-75.752966,2,1,1,1,0,2,1,1,0
3340,1,2/16/2021,132348,39.6789849,-75.7536692,2,1,1,1,1,3,9,2,0
3341,1,2/16/2021,132352,39.67907367,-75.7535137,2,1,0,1,1,2,1,2,0
3342,1,2/16/2021,132409,39.67984724,-75.75367332,2,1,1,1,1,9,9,2,0
3343,1,2/16/2021,132410,39.67983382,-75.753684,2,1,1,1,0,2,1,2,0
3344,1,2/16/2021,132410,39.67991639,-75.7536746,2,1,1,1,0,2,1,2,0
3345,1,2/16/2021,132413,39.68018425,-75.7536745,2,1,1,1,1,2,9,2,0
3346,1,2/16/2021,132439,39.67998761,-75.7549393,2,1,1,1,1,2,1,1,0
3347,1,2/16/2021,132441,39.68006605,-75.755194,2,0,0,1,1,3,1,1,1
3348,1,2/16/2021,132443,39.6802023,-75.755165,2,1,1,1,1,2,1,2,0
3349,1,2/16/2021,132446,39.68040563,-75.7556903,2,1,1,1,1,2,1,2,1
3350,1,2/16/2021,132458,39.68046033,-75.7557667,2,1,1,1,1,9,9,1,0
3351,1,2/16/2021,132526,39.68157297,-75.7554945,2,0,0,1,1,2,1,2,0
3352,1,2/16/2021,132528,39.68166689,-75.7554891,1,1,0,0,0,2,1,2,1
3353,1,2/16/2021,132528,39.68166276,-75.755471,1,1,1,1,0,2,1,2,0
3354,1,2/16/2021,132548,39.68243891,-75.7551874,2,1,1,1,1,2,1,1,1
3355,1,2/16/2021,132612,39.68306849,-75.7540206,6,1,1,1,1,2,9,9,9
3356,1,2/16/2021,132613,39.6829209,-75.754186,2,1,1,1,0,2,1,2,1
3357,1,2/16/2021,132613,39.68291368,-75.75418,2,1,1,1,0,2,1,2,0
3358,1,2/16/2021,132613,39.68290749,-75.7541936,2,1,1,1,0,2,1,2,9
3359,1,2/16/2021,132613,39.68291368,-75.754197,2,1,1,1,0,2,9,2,0
3360,1,2/16/2021,132628,39.68238627,-75.7539361,1,1,1,1,0,2,1,2,0
3361,1,2/16/2021,132628,39.68238834,-75.753917,1,1,9,9,0,9,1,9,9
3362,1,2/16/2021,132630,39.68232538,-75.75389997,1,0,0,1,1,2,1,2,0
3363,1,2/16/2021,132631,39.68223042,-75.7538718,1,0,0,0,0,2,0,1,0
3364,1,2/16/2021,132631,39.68223558,-75.7538557,1,0,0,0,0,2,0,2,0
3365,1,2/16/2021,132641,39.68169889,-75.7536921,2,1,1,1,1,2,1,2,0
3366,1,2/16/2021,132641,39.68181964,-75.7538,2,1,1,1,1,2,9,2,0
3367,1,2/16/2021,132641,39.68186815,-75.7538476,2,1,1,1,1,2,9,2,1
3368,1,2/16/2021,132649,39.68162044,-75.7534171,2,1,0,0,0,2,1,1,0
3369,1,2/16/2021,132649,39.68161528,-75.7533702,2,1,0,0,0,2,1,1,0
3370,1,2/16/2021,132650,39.68172366,-75.7534319,2,1,1,1,0,2,9,2,0
3371,1,2/16/2021,132657,39.6816834,-75.752697,2,1,1,1,1,2,1,1,0
3372,1,2/16/2021,132747,39.68104658,-75.7505686,2,1,1,1,1,4,1,1,0
3373,1,2/16/2021,132750,39.68100014,-75.7504667,2,1,1,1,1,2,1,2,0
3374,1,2/16/2021,132801,39.68097227,-75.7503299,1,0,0,1,1,2,1,1,1
3375,1,2/16/2021,132837,39.68193758,-75.7495826,2,1,1,1,0,2,1,2,0
3376,1,2/16/2021,132851,39.68171671,-75.7496095,2,1,0,0,0,2,1,2,1
3377,1,2/16/2021,132851,39.68171464,-75.7495907,2,1,1,1,0,2,1,2,0
3378,1,2/16/2021,132856,39.68219148,-75.749545,2,0,0,1,1,2,1,1,0
3379,1,2/16/2021,132918,39.68208621,-75.7476595,2,1,1,1,1,2,1,2,0
3380,1,2/16/2021,132918,39.68207176,-75.74763,2,1,1,1,1,2,1,2,0
3381,1,2/16/2021,132925,39.68212956,-75.747031,2,1,1,1,1,3,0,1,0
3382,1,2/16/2021,132937,39.68230501,-75.7462326,2,1,0,1,1,2,1,1,0
3383,1,2/16/2021,132955,39.68311625,-75.745342,2,0,0,0,0,2,1,1,0
3384,1,2/16/2021,132955,39.6831162,-75.745326,2,1,1,1,0,2,9,2,0
3385,1,2/16/2021,133017,39.68355924,-75.745665,2,1,1,1,1,3,1,2,0
3386,1,2/16/2021,133017,39.68368928,-75.7457513,2,1,1,1,0,9,9,2,9
3387,1,2/16/2021,133017,39.68370166,-75.74574865,2,1,1,1,0,9,9,2,9
3388,1,2/16/2021,133017,39.68356336,-75.745603,2,1,1,1,1,2,1,1,0
3389,1,2/16/2021,133017,39.68370786,-75.7455018,2,1,1,1,1,2,1,2,0
3390,1,2/16/2021,133017,39.68370373,-75.745442,2,1,1,1,1,9,1,1,9
3391,1,2/16/2021,133027,39.68367896,-75.745965,2,1,1,1,1,4,1,1,1
3392,1,2/16/2021,133029,39.68366657,-75.746132,2,1,1,1,0,2,1,2,0
3393,1,2/16/2021,133029,39.68367896,-75.746156,2,1,1,1,0,2,1,2,0
3394,1,2/16/2021,133042,39.68348493,-75.746674,2,1,0,1,1,3,1,2,0
3395,1,2/16/2021,133047,39.68344983,-75.7470092,2,0,0,1,1,2,1,1,0
3396,1,2/16/2021,133056,39.68344777,-75.7471943,1,1,0,0,0,2,1,1,0
3397,1,2/16/2021,133056,39.68343538,-75.7471836,1,0,0,0,0,2,1,2,0
3398,1,2/16/2021,133056,39.68343332,-75.747253,1,0,0,0,0,2,1,2,0
3399,1,2/16/2021,133056,39.68343126,-75.7472238,1,0,0,0,0,2,1,2,0
3400,1,2/16/2021,133056,39.68341681,-75.7472265,1,0,0,0,0,2,1,2,0
3401,1,2/16/2021,133056,39.68343745,-75.7473123,1,1,1,1,1,2,1,1,0
3402,1,2/16/2021,133101,39.68355098,-75.747556,2,1,1,1,0,9,1,2,9
3403,1,2/16/2021,133101,39.68356543,-75.74756451,2,9,9,9,0,9,9,9,9
3404,1,2/16/2021,133105,39.68340081,-75.747771,2,1,1,1,1,2,1,1,0
3405,1,2/16/2021,133113,39.68351021,-75.7480258,2,1,1,1,1,2,1,1,0
3406,1,2/16/2021,133115,39.68334714,-75.7483007,2,1,1,1,1,2,1,1,1
3407,1,2/16/2021,133119,39.68349473,-75.7483584,1,9,9,9,0,9,1,2,0
3408,1,2/16/2021,133119,39.68348441,-75.7483571,1,0,0,0,0,2,1,2,0
3409,1,2/16/2021,133125,39.68345035,-75.7488264,2,1,1,1,1,2,1,2,0
3410,1,2/16/2021,133126,39.68344622,-75.7489364,2,1,0,1,1,2,1,2,0
3411,1,2/16/2021,133127,39.68343074,-75.74905313,2,1,1,1,1,9,1,1,9
3412,1,2/16/2021,133130,39.68328005,-75.7491765,1,1,1,1,1,3,1,1,1
3413,1,2/16/2021,133131,39.68339668,-75.749456,2,1,1,1,1,9,9,1,9
3414,1,2/16/2021,133131,39.68340803,-75.74923686,1,1,1,1,0,3,1,2,9
3415,1,2/16/2021,133131,39.68340597,-75.7492234,1,1,1,1,0,3,1,2,9
3416,1,2/16/2021,133131,39.68342661,-75.7491899,2,1,1,1,1,3,0,1,0
3417,1,2/16/2021,133131,39.6834359,-75.749102,2,1,1,1,0,2,1,2,0
3418,1,2/16/2021,133131,39.68342558,-75.7491322,2,1,1,1,0,2,1,2,0
3419,1,2/16/2021,133131,39.683439,-75.7489726,2,1,1,1,1,2,1,2,0
3420,1,2/16/2021,133132,39.6832687,-75.74922,1,0,0,1,1,3,1,1,0
3421,1,2/16/2021,133132,39.68328625,-75.7492462,1,1,1,1,0,2,1,2,9
3422,1,2/16/2021,133132,39.68329038,-75.7492596,1,1,1,1,0,2,1,2,9
3423,1,2/16/2021,133132,39.68328005,-75.749267,1,1,1,1,0,2,1,2,0
3424,1,2/16/2021,133132,39.68326664,-75.7492703,1,1,1,1,1,2,1,1,0
3425,1,2/16/2021,133133,39.68322226,-75.7494635,1,9,9,9,1,9,9,9,9
3426,1,2/16/2021,133133,39.68325116,-75.749452,1,1,1,1,0,2,0,1,0
3427,1,2/16/2021,133133,39.68325941,-75.7494527,1,0,0,0,0,2,1,1,0
3428,1,2/16/2021,133133,39.68326044,-75.7494769,1,1,1,1,0,2,1,1,0
